case,config,pca_thickness_ratio,eigen_ratio_small_large,section_count,multi_layer_section_ratio,dense_section_ratio,front_back_separation_ratio,mean_thin_axis_layers,depth_layer_entropy,torso_cross_section_area_cv_proxy,occupied_voxels,largest_component_ratio,component_count,part_largest_component_ratio_mean,anti_billboard_score_v2,billboard_risk_v2,billboard_fail_v2,semantic_topology_score_v3,semantic_topology_fail_v3,part_count,part_order_score,adjacency_score,endpoint_score,collision_penalty,combined_topology_volume_score_v3,combined_fail_v3
0013_01_frame001,real_vggt_baseline_only,0.33215459282226123,0.010730958107688253,213,0.10328638497652583,0.06103286384976526,0.10328638497652583,1.4131455399061033,0.040439742811614714,0.32217740767764763,235,0.8978723404255319,15,1.0,0.35294218596191007,0.6728320066523017,True,0.0,True,0,0.0,0.0,0.0,1.0,0.21882415529638424,True
0013_01_frame001,same_topology_no_semantic,0.13344995876017693,0.010166350177534636,181,0.9668508287292817,0.8397790055248618,0.2154696132596685,5.093922651933702,0.5708784251950574,0.7057277251832829,638,1.0,1,1.0,0.6438028617027225,0.4126553563119401,True,0.0,True,0,0.0,0.0,0.0,1.0,0.39915777425568794,True
0013_01_frame001,shuffled_smpl_feature,0.38996626924074734,0.013256562356243841,208,0.7932692307692307,0.3125,0.10096153846153846,3.1971153846153846,0.24307403453872342,0.5399824030297004,479,0.9331941544885177,9,1.0,0.5869365525898298,0.45626203965254625,True,0.0,True,0,0.0,0.0,0.0,1.0,0.3639006626056945,True
0013_01_frame001,thickness_only_control,0.4223742724754062,0.027292374135193632,197,0.17766497461928935,0.07614213197969544,0.08629441624365482,1.736040609137056,0.08726566181922416,0.35005589212378935,272,0.8235294117647058,11,1.0,0.409978807837689,0.6180256635322142,True,0.0,True,0,0.0,0.0,0.0,1.0,0.25418686085936715,True
0013_01_frame001,posthoc_surfel_only,0.32389897620309216,0.010613505336144628,206,0.13592233009708737,0.06796116504854369,0.10679611650485436,1.5242718446601942,0.048386677548327914,0.5091588434197475,245,0.7591836734693878,15,1.0,0.3441530491438291,0.6965796583297507,True,0.0,True,0,0.0,0.0,0.0,1.0,0.21337489046917404,True
0013_01_frame001,tiny_synthetic_token_control,0.3296455259126536,0.010677855935090491,187,0.13903743315508021,0.058823529411764705,0.11229946524064172,1.53475935828877,0.045459257005528345,0.33988717899814697,229,0.7292576419213974,17,1.0,0.34360508104642845,0.6835858932734233,True,0.0,True,0,0.0,0.0,0.0,1.0,0.21303515024878564,True
0021_03_frame001,multishell_topology_decoder_true,0.40777111135190075,0.03753589736938737,118,0.711864406779661,0.6610169491525424,0.01694915254237288,4.313559322033898,0.36823553865219577,1.0811482368317011,384,0.9635416666666666,6,0.6314469675228451,0.6221475113325854,0.4752078118308369,True,0.8635784594165162,True,8,1.0,0.7946792746623974,1.0,0.8509135924908305,0.7138912716044792,True
0021_03_frame001,front_back_occupancy_true,0.41076984253311843,0.0509105315791723,138,0.4927536231884058,0.2898550724637681,0.021739130434782608,2.8333333333333335,0.1728174188976946,2.3916022386284985,311,0.9935691318327974,3,0.5959448991924945,0.49890146611280933,0.671736186759418,True,0.8511377463583643,True,8,1.0,0.7266488456860215,1.0,0.8052446506314119,0.6327512526061202,True
0021_03_frame001,real_vggt_baseline_only,0.3299654900634827,0.021135213078962215,160,0.3125,0.175,0.1,2.16875,0.09960661646631237,0.5038808900704363,292,0.952054794520548,10,1.0,0.4239747352368261,0.6163357359688088,True,0.0,True,0,0.0,0.0,0.0,1.0,0.26286433584683216,True
0021_03_frame001,same_topology_no_semantic,0.11793869604529122,0.007858012539053924,132,0.8409090909090909,0.6212121212121212,0.007575757575757576,4.007575757575758,0.45605486217856084,0.7383278852728969,374,1.0,1,1.0,0.5310976227401354,0.5279686080816963,True,0.0,True,0,0.0,0.0,0.0,1.0,0.3292805260988839,True
0021_03_frame001,shuffled_smpl_feature,0.3172641512165774,0.027680051275617394,144,0.5625,0.2986111111111111,0.05555555555555555,3.1041666666666665,0.21220499466086926,0.7546043853453752,343,0.9795918367346939,5,1.0,0.49714181251643375,0.5632265383111963,True,0.0,True,0,0.0,0.0,0.0,1.0,0.3082279237601889,True
0021_03_frame001,thickness_only_control,0.3885950871270487,0.05092584507311083,162,0.3333333333333333,0.22839506172839505,0.06790123456790123,2.259259259259259,0.1183261145058746,0.5169345642789989,322,0.9565217391304348,12,1.0,0.4632261897553673,0.5781285753869526,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2872002376483277,True
0021_03_frame001,posthoc_surfel_only,0.32373014412533846,0.020777645835644155,157,0.3248407643312102,0.18471337579617833,0.10191082802547771,2.2038216560509554,0.09865265758263116,0.6241782498805872,297,0.9595959595959596,8,1.0,0.42587490252824045,0.6240593574622065,True,0.0,True,0,0.0,0.0,0.0,1.0,0.26404243956750906,True
0021_03_frame001,tiny_synthetic_token_control,0.3274028193095784,0.020817693095536834,166,0.3253012048192771,0.18674698795180722,0.08433734939759036,2.1987951807228914,0.09416154446491355,0.5128857376691544,294,0.8367346938775511,11,1.0,0.4126268167206773,0.6284040422928551,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2558286263668199,True
current_v895_0021_03,multishell_topology_decoder_true,0.44448062634880314,0.04117582030099702,122,0.6967213114754098,0.5901639344262295,0.03278688524590164,4.10655737704918,0.33382364115134094,1.1442950366269955,379,0.9683377308707124,3,0.6154633641792044,0.6236559423726602,0.4810535242533678,True,0.864012264373667,True,8,1.0,0.797183454682609,1.0,0.8528359929698542,0.7149913447330427,True
current_v895_0021_03,front_back_occupancy_true,0.37688551543051585,0.027301546304827236,123,0.4146341463414634,0.24390243902439024,0.10569105691056911,2.5447154471544717,0.14219575102798768,2.1350879649684678,267,0.951310861423221,10,0.5556219591488295,0.46203569314904364,0.7121484890444462,True,0.854816912144126,True,8,1.0,0.734045318563474,1.0,0.7869441749674261,0.6112925563671749,True
current_v895_0021_03,real_vggt_baseline_only,0.32951297240292293,0.022347418462172024,161,0.30434782608695654,0.16770186335403728,0.11801242236024845,2.1739130434782608,0.10591273075629729,0.5162101626622235,289,0.9238754325259516,10,1.0,0.4215960286039655,0.6197007844090123,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2613895377344586,True
current_v895_0021_03,same_topology_no_semantic,0.12963162366131187,0.009116044165050772,124,0.8387096774193549,0.5564516129032258,0.0,3.814516129032258,0.4618188230295765,0.7338961940900728,340,1.0,1,1.0,0.5255679127685777,0.5331437827586281,True,0.0,True,0,0.0,0.0,0.0,1.0,0.3258521059165182,True
current_v895_0021_03,shuffled_smpl_feature,0.3188889673124259,0.03028589103918594,146,0.5,0.3013698630136986,0.02054794520547945,2.9452054794520546,0.20760429731571897,0.7914334948988249,329,0.9908814589665653,3,1.0,0.4812033043458536,0.5821113752460523,True,0.0,True,0,0.0,0.0,0.0,1.0,0.29834604869442927,True
current_v895_0021_03,thickness_only_control,0.3885776878673228,0.0526328228106145,162,0.3333333333333333,0.16049382716049382,0.06790123456790123,2.2037037037037037,0.11648014858480975,0.5202325522151586,322,0.9472049689440993,8,1.0,0.45120029299058684,0.5904183111866259,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2797441816541638,True
current_v895_0021_03,posthoc_surfel_only,0.3233726512386631,0.021972823249010835,158,0.34177215189873417,0.16455696202531644,0.12658227848101267,2.2278481012658227,0.10850744757974938,0.6340641783309351,288,0.9652777777777778,8,1.0,0.43131285372442124,0.6194122805420536,True,0.0,True,0,0.0,0.0,0.0,1.0,0.2674139693091412,True
current_v895_0021_03,tiny_synthetic_token_control,0.3273353248349505,0.022034041904881504,166,0.3192771084337349,0.1566265060240964,0.12048192771084337,2.1566265060240966,0.10510366514469018,0.5109742691298207,299,0.9732441471571907,8,1.0,0.42695540959295325,0.6139225319374324,True,0.0,True,0,0.0,0.0,0.0,1.0,0.26471235394763104,True
