method,label,method_type,view_index,camera_id,region,region_pixels,valid_points,coverage,xyz_span_x,xyz_span_y,xyz_span_z,xyz_span_norm,z_relief_p95_p5,neighbor_delta_median,neighbor_delta_p95,mean_l2_from_v25_baseline,confidence_mean,normal_available,notes
v25_base_vggt,V25 base VGGT,vggt_baseline,4,16,head_face,4022,4022,1.0,0.07682030960917471,0.126138336956501,0.14470891833305355,0.2067677708534955,0.10813478827476497,0.001718371408060193,0.0046890368685126305,nan,2.316831111907959,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,4,16,left_hand,897,897,1.0,0.04587462574243525,0.15183512344956396,0.08278622865676877,0.1789188242057376,0.07481585741043084,0.003269731532782316,0.00917998980730772,nan,1.2598460912704468,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,4,16,right_hand,6535,6535,1.0,0.05661650978028773,0.21989865988492965,0.16097589969635007,0.2783416786647999,0.14009941816329952,0.0016323319869115949,0.0036589496303349733,nan,2.582651138305664,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,5,21,full,11264,11264,1.0,0.11472476288676262,0.32240149438381194,0.23488395690917974,0.41506019806005545,0.1965922147035598,0.0018595544388517737,0.0043321936391294,nan,1.9013797044754028,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,5,21,upper,8239,8239,1.0,0.11823805660009384,0.1782556721568107,0.1486530685424804,0.2604861943975894,0.1253324508666992,0.0017812642036005855,0.004150605294853449,nan,1.9928059577941895,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,5,21,head_face,3993,3993,1.0,0.09412111192941665,0.10319979310035703,0.10678327560424805,0.17581708948665675,0.08753480911254885,0.0016851124819368124,0.0037442054599523544,nan,2.2271885871887207,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,5,21,left_hand,4312,4312,1.0,0.06924107287079094,0.22492438331246373,0.14801742792129513,0.27801881833650416,0.13235938549041748,0.0020022946409881115,0.004685896448791027,nan,1.8199433088302612,False,"base VGGT research prediction, human_prior_channels=0"
v25_base_vggt,V25 base VGGT,vggt_baseline,5,21,right_hand,4024,4024,1.0,0.05917253900319338,0.2152699369192123,0.15348472237586974,0.27092451922276045,0.1367209404706955,0.0017453888431191444,0.0035511618480086327,nan,2.0496809482574463,False,"base VGGT research prediction, human_prior_channels=0"
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,0,00,full,11240,11240,1.0,0.10354723412543534,0.3237854009866714,0.20760916948318475,0.3983222098259461,0.19696236252784727,0.0017436107154935598,0.0033252944704145193,0.0001637461973587051,4.775753021240234,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,0,00,upper,7923,7923,1.0,0.10687218911945819,0.18655883803963658,0.11403785705566394,0.24337316552926008,0.10039892196655276,0.0016368344658985734,0.0031034848652780056,0.0001531886518932879,4.87183952331543,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,0,00,head_face,3695,3695,1.0,0.08260403882712125,0.11566235445439815,0.05258264541625979,0.15154584147200972,0.046016263961791926,0.0015139281749725342,0.00293453736230731,0.0002192793763242662,4.887983322143555,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,0,00,left_hand,4660,4660,1.0,0.05326910782605408,0.21107955187559127,0.14177215933799747,0.2597913013015308,0.13188858628273004,0.0017339145997539163,0.003083012532442808,0.00012158924073446542,5.197513103485107,True,prior-enabled prediction; this is the main point-map source used by V50R2
v42_prior_enabled,V42 prior-enabled VGGT,vggt_prior_enabled,0,00,right_hand,3619,3619,1.0,0.053346517831087105,0.19888203442096708,0.1310270500183105,0.24406556991232103,0.10883569717407215,0.0017425643745809793,0.003107707714661956,0.00010498588380869478,4.973296642303467,True,prior-enabled prediction; this is the main point-map source used by V50R2
