case,config,source_config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,head_hair_projection_score,hand_arm_projection_score,clothing_projection_score,local_projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
0021_03_frame001,random_smpl_feature,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7071333333333333,0.04235000163316727,0.048690762370824814,0.5760675870261192,0.5497514268654585,0.48803557848036294,0.6186115882343823,0.5521328645267346,0.6095197596019399,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0021_03_frame001,shuffled_smpl_feature,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7680666666666667,0.04769999906420708,0.04889172688126564,0.6032083161925077,0.5816965324847427,0.5351091811597347,0.635190425899721,0.5839987131813995,0.6344449017951728,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0021_03_frame001,same_topology_no_semantic,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.85025,0.041600000113248825,0.057654839009046555,0.6334416451114415,0.637197146769762,0.5866048573464155,0.6642949822561395,0.6293656621241057,0.6631661343488334,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0021_03_frame001,posthoc_surfel_only,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8119833333333333,0.04104999825358391,0.05947402864694595,0.6166952714549303,0.6187833682143689,0.5411329277217388,0.6265206911122607,0.5954789956827894,0.6460671102209541,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0021_03_frame001,tiny_synthetic_token_control,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.7511666666666666,0.04554999992251396,0.04644453153014183,0.5961505311483145,0.5743552341139316,0.5227779487848282,0.630888754740742,0.5760073125465006,0.6280331776371415,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,source_label_only_control,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7334166666666667,0.04388333484530449,0.04618697986006737,0.5882676460927725,0.5631894830256701,0.5133537563979625,0.6258654705167779,0.5674695699801368,0.620882416001445,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0021_03_frame001,local_detail_no_smpl,local_detail_no_smpl,60000,24000,0.7142857142857143,True,True,0.7738,0.059983331710100174,0.0487724170088768,0.6093347227505446,0.6018912278234959,0.5356428972899914,0.6343055100384258,0.5906132117173043,0.6400836266313014,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\local_detail_no_smpl\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\local_detail_no_smpl\full_scene_rgb_pointcloud.ply
0021_03_frame001,smpl_no_local_detail,smpl_no_local_detail,60000,24000,0.7142857142857143,True,True,0.8093833333333333,0.059450000524520874,0.04872056096792221,0.6241342430863381,0.6060212511205674,0.5769761072516442,0.6456428669422865,0.6095467417714994,0.6538399517335158,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\smpl_no_local_detail\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\smpl_no_local_detail\full_scene_rgb_pointcloud.ply
0021_03_frame001,scaffold_only_no_vggt,scaffold_only_no_vggt,60000,24000,0.7142857142857143,True,True,0.8205666666666667,0.029616666957736015,0.05313507467508316,0.6186451791782975,0.6346899270433188,0.5383871935904027,0.6568163153126836,0.6099644786488017,0.6493428505619547,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\scaffold_only_no_vggt\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0021_03_frame001\scaffold_only_no_vggt\full_scene_rgb_pointcloud.ply
0012_11_frame001,photometric_geometry_true,detail_verified_true,60000,24000,0.7142857142857143,True,True,0.9992333333333333,0.3163999915122986,0.0,0.7945979974536896,0.8282100022649765,0.8542622391938184,0.7669870953244547,0.8164864455944166,0.8136324252958264,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\photometric_geometry_true\full_scene_rgb_pointcloud.ply
