case,config,human_points,environment_points,human_ratio,same_point_budget,same_environment_budget,mask_inside_ratio,edge_alignment,rgb_reprojection_residual,projection_score,fair_score_v2,config_name_used_for_bonus,detail_bonus_used,control_penalty_used,prediction_npz,ply
0012_11_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7785666666666666,0.05303333327174187,0.0491827055811882,0.6091368424187898,0.6890319762125533,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0012_11_frame001,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.72425,0.04458333179354668,0.04937039315700531,0.5837362894541025,0.6692528236317119,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0012_11_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.7566,0.04729999974370003,0.03340786322951317,0.6026077982188462,0.6841861559427819,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0012_11_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,photometric_geometry_true,60000,24000,0.7142857142857143,True,True,0.9993,0.264516681432724,0.0,0.7790610044298172,0.8232557995438538,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\photometric_geometry_true\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\photometric_geometry_true\full_scene_rgb_pointcloud.ply
0013_01_frame001,real_vggt_baseline_only,60000,24000,0.7142857142857143,True,True,0.8622333333333333,0.0608999989926815,0.03831969574093819,0.6496784848903417,0.7207372536215306,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\real_vggt_baseline_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\real_vggt_baseline_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,posthoc_surfel_only,60000,24000,0.7142857142857143,True,True,0.8514,0.034166667610406876,0.0614367239177227,0.6306357175861598,0.7053802028297506,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\posthoc_surfel_only\full_scene_rgb_pointcloud.ply
0013_01_frame001,same_topology_no_semantic,60000,24000,0.7142857142857143,True,True,0.9402833333333334,0.03021666593849659,0.06157071515917778,0.6667441995369792,0.7333768151446581,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\same_topology_no_semantic\full_scene_rgb_pointcloud.ply
0013_01_frame001,tiny_synthetic_token_control,60000,24000,0.7142857142857143,True,True,0.7844,0.039516665041446686,0.04310799762606621,0.6092327601771355,0.6891111241654476,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\tiny_synthetic_token_control\full_scene_rgb_pointcloud.ply
0013_01_frame001,shuffled_smpl_feature,60000,24000,0.7142857142857143,True,True,0.7986166666666666,0.04118333384394646,0.04893006756901741,0.614073581233859,0.6927833936447303,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\shuffled_smpl_feature\full_scene_rgb_pointcloud.ply
0013_01_frame001,random_smpl_feature,60000,24000,0.7142857142857143,True,True,0.75135,0.03448333218693733,0.0488756038248539,0.5922268305851222,0.6757792044298491,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\random_smpl_feature\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\random_smpl_feature\full_scene_rgb_pointcloud.ply
0013_01_frame001,source_label_only_control,60000,24000,0.7142857142857143,True,True,0.77375,0.03696666657924652,0.04277113080024719,0.6040890833497048,0.6851060513717613,False,False,False,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\source_label_only_control\predictions.npz,D:\vggt\vggt-canonical-surfel-adapter\output\V190000000000000000_photometric_matrix\0013_01_frame001\source_label_only_control\full_scene_rgb_pointcloud.ply
