path,category,exists,size_bytes,sha256,json_readable,csv_readable,csv_columns,png_open,image_size,py_readable,mentions_raw_points_xy,raw_points_xy_main_risk,readable,npz_readable,npz_keys,zip_clean,zip_entry_count
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\posthoc_surfel_only\predictions.npz,training_input,True,1319924,541278c130b4cdbf4b27f2da52300c2a79a4dd93615d4e6b5a2b58cfac8f1e46,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\same_topology_no_semantic\predictions.npz,training_input,True,1232307,7b7ef7d688be344f98d5806312e5c47b7ad9d553683a8fe1ee5938adaeda4a35,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\tiny_synthetic_token_control\predictions.npz,training_input,True,1007900,a284fe2bace0df6a4021ab6ef29db3ee9de303605952e83541625b39fe7458a3,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0013_01_frame001\shuffled_smpl_feature\predictions.npz,training_input,True,1438087,d8eb19d048939fcfab731d7c8c0e8f1e2c3b19a2ccf70f7b7c1b45cd116147b5,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\real_vggt_baseline_only\predictions.npz,training_input,True,1047331,2cbe841ec6e1ac6003527a78913f003591918fba59fdd94cf3ebea42cf75710b,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V5360000000000000000_geometry_part_binding_repair\0021_03_frame001\mentor_view_geometry_part_graph.npz,training_input,True,680799,35774b672dca76986ab4fcda1975efc3c1b4778af8da4b7e4a8c9db2e1e3c88b,,,,,,,,,,True,case_id;mentor_points;mentor_rgb;environment_points;environment_rgb;raw_body_part_id;geometry_body_part_id;mentor_to_smpl_index;mentor_to_smpl_norm_distance;mentor_smpl_confidence;mentor_weak_region_score;no_change_mask;head_hair_contour_mask;shoulder_neck_mask;hand_arm_endpoint_mask;clothing_torso_boundary_mask;leg_foot_morphology_mask;geometry_thresholds_json;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V161000000000000_repaired_detail_regions\0021_03_frame001\repaired_detail_regions_world_rgb.npz,training_input,True,984559,0073a9b2381f0dedd60b63a515ada64fc55321e6a9f9701cb2f885314e9df4c5,,,,,,,,,,True,world_points;rgb;confidence;body_part_id;student_points;student_rgb;student_active_mask;artifact_path;prediction_path;mask_head_hair;mask_face_head_silhouette;mask_shoulder_neck;mask_torso_clothing_boundary;mask_arms_hands;mask_feet_leg_boundary;mask_mask_boundary_band;mask_vggt_high_confidence_detail_band;mask_body_part_0;mask_body_part_1;mask_body_part_2,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\posthoc_surfel_only\predictions.npz,training_input,True,1362771,2d60d6b27ccccfebe6c0c2167e884d96b759c28b7ada5f8c2cfc16965a507d1d,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\same_topology_no_semantic\predictions.npz,training_input,True,1239707,1a100802a47ebfd65c7056e6bf7641435b85e41e530a03debae6d7beba6d7b7c,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\tiny_synthetic_token_control\predictions.npz,training_input,True,1041575,0d9a7a419ee2d828d4c41f0eb9f1ac0db5bb7efee87e8ce31bf75bb6a5722210,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
D:\vggt\vggt-canonical-surfel-adapter\output\V1400000000000000000_learned_residual_matrix\0021_03_frame001\shuffled_smpl_feature\predictions.npz,training_input,True,1448322,ef60cf39c96cc1932f1fcc0643d488785fb87b5fdac0e1a130130beea6ef0f6f,,,,,,,,,,True,human_points;human_rgb;environment_points;environment_rgb;full_scene_points;full_scene_rgb;projection_uv_518;environment_uv_518;body_part_id;source_label;config;case_id;route;copied_from_v190;copied_from_v740;teacher_points_used_at_inference;raw_kinect_depth_used_at_inference,,
