case,config,part_a,part_b,part_a_name,part_b_name,is_adjacent,mean_bbox_overlap,volume_bbox_overlap,thin_axis_overlap,normalized_center_distance,normalized_center_distance_xy,invalid_overlap_penalty,pair_separation_or_contact_score
0012_11_frame001,multishell_topology_decoder_true,3,4,right_arm_endpoint,left_leg,False,1.0,1.0,1.0,0.1671474642913968,0.08947415861041635,1.0,0.23214925596027333
0012_11_frame001,multishell_topology_decoder_true,3,5,right_arm_endpoint,right_leg,False,0.953011109069648,0.9506120994210021,1.0,0.22542896376589602,0.11881872936502731,1.0,0.3130957830081889
0012_11_frame001,multishell_topology_decoder_true,3,6,right_arm_endpoint,left_foot_endpoint,False,0.6790912030428439,0.33404154385574886,1.0,0.4586071089397833,0.22740059814322533,0.33007879007124785,0.6369543179719213
0012_11_frame001,multishell_topology_decoder_true,3,7,right_arm_endpoint,right_foot_endpoint,False,1.0,1.0,1.0,0.23024690449094062,0.20047347757512085,1.0,0.31978736734852864
0012_11_frame001,multishell_topology_decoder_true,4,5,left_leg,right_leg,False,1.0,1.0,1.0,0.05909760685243533,0.02944285136414962,0.85,0.08208000951727129
0012_11_frame001,multishell_topology_decoder_true,4,6,left_leg,left_foot_endpoint,True,0.8273653469734429,0.8097105891954722,1.0,0.3240976611644613,0.18509030349184735,0.0,0.4311412306090863
0012_11_frame001,multishell_topology_decoder_true,4,7,left_leg,right_foot_endpoint,False,0.8490907837657291,0.8426107384309098,1.0,0.32547845522761193,0.260404423813569,0.95,0.4520534100383499
0012_11_frame001,multishell_topology_decoder_true,5,6,right_leg,left_foot_endpoint,False,0.8787507436581697,0.8715475530777965,1.0,0.2831971128557767,0.17620355741315402,0.95,0.393329323410801
0012_11_frame001,multishell_topology_decoder_true,5,7,right_leg,right_foot_endpoint,True,0.8284567052193835,0.8200528166835368,0.9975837447874426,0.36766046612832665,0.2818137323301149,0.0,0.2777673154388764
0012_11_frame001,multishell_topology_decoder_true,6,7,left_foot_endpoint,right_foot_endpoint,False,0.7840409063864291,0.7182290786921909,1.0,0.47524159599672017,0.2520607307996115,0.7699711430237116,0.6600577722176669
0012_11_frame001,front_back_occupancy_true,0,1,head_hair,torso_shoulder,True,0.6264583825791964,0.0,1.0,0.28205492261078097,0.22205195031734956,0.0,0.36446416435365864
